Tiempo de ensamblaje(s)     Tiempo en calcular(s)     Tamaño matriz 
7.189999996626284e-05   0.0003912000000809712   15 
6.719999998949788e-05   0.00039769999989403004   20 
0.00028500000007625204   0.0004364999999779684   30 
0.0007584999999608044   0.0007668999999168591   40 
0.0008073000000194952   0.0010701999999582767   50 
0.0007790999999315318   0.00135550000004514   70 
0.0007157000000006519   0.0017223999999487205   100 
0.0008033000000295942   0.0027463999999781663   150 
0.0011768000000529355   0.00449700000001485   200 
0.0025712000000339685   0.00972460000002684   300 
0.0076791000000184795   0.028411399999981768   500 
0.02369080000005397   0.09469539999997778   750 
0.03643850000003113   0.19206159999998818   1000 
0.12739800000008472   0.7853049999999939   1800 
0.18333659999996144   3.512513199999944   2500 
